,name,radius,longitude,latitude
1,Afghanistan,0,65,33
2,Albania,0,20,41
3,Algeria,0,3,28
4,Angola,0,18.5,-12.5
5,Antigua and Barbuda,0,-61.8,17.05
6,Argentina,0,-64,-34
7,Armenia,0,45,40
8,Australia,33,133,-27
9,Austria,0,13.3333,47.3333
10,Belarus,0,28,53
11,Belgium,2,4,50.8333
12,Belize,0,-88.75,17.25
13,Botswana,0,24,-22
14,Brazil,1,-55,-10
15,Bulgaria,0,25,43
16,Burundi,0,30,-3.5
17,Cambodia,0,105,13
18,Canada,22,-95,60
19,Chile,0,-71,-30
20,China,15,105,35
21,Colombia,0,-72,4
22,Costa Rica,0,-84,10
23,Cuba,0,-80,21.5
24,Czech Republic,2,15.5,49.75
25,Denmark,2,10,56
26,Dominica,0,-61.3333,15.4167
27,Estonia,0,26,59
28,Fiji,0,175,-18
29,Finland,0,26,64
30,France,5,2,46
31,Germany,29,9,51
32,Hungary,0,20,47
33,India,4,77,20
34,Indonesia,0,120,-5
35,Ireland,0,-8,53
36,Israel,0,34.75,31.5
37,Italy,0,12.8333,42.8333
38,Japan,0,138,36
39,Latvia,0,25,57
40,Malaysia,0,112.5,2.5
41,Malta,0,14.5833,35.8333
42,Mexico,0,-102,23
43,Morocco,0,-5,32
44,Nepal,0,84,28
45,Netherlands,32,5.75,52.5
46,New Zealand,1,174,-41
47,Nigeria,0,8,10
48,Norway,1,10,62
49,Philippines,0,122,13
50,Poland,7,20,52
51,Portugal,1,-8,39.5
52,Romania,0,25,46
53,Singapore,0,103.8,1.3667
54,Slovakia,0,19.5,48.6667
55,Slovenia,0,15,46
56,South Africa,0,24,-29
57,Spain,4,-4,40
58,Sweden,0,15,62
59,Switzerland,2,8,47
60,Turkey,0,35,39
61,Ukraine,1,32,49
62,United Kingdom,58,-2,54
63,United States,100,-97,38
64,Zimbabwe,0,30,-20
