date,Afghanistan,Albania,Algeria,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Belarus,Belgium,Belize,Botswana,Brazil,Bulgaria,Burundi,Cambodia,Canada,Chile,China,Colombia,Costa Rica,Cuba,Czech Republic,Denmark,Dominica,Estonia,Fiji,Finland,France,Germany,Hungary,India,Indonesia,Ireland,Israel,Italy,Japan,Latvia,Malaysia,Malta,Mexico,Morocco,Nepal,Netherlands,New Zealand,Nigeria,Norway,Philippines,Poland,Portugal,Romania,Singapore,Slovakia,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,United States,Zimbabwe
2014-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2015-01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0
2015-02,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,7,18,0
2015-03,15,0,0,0,1,0,1,8,0,0,2,1,0,1,0,1,0,22,0,3,21,0,7,1,0,1,0,1,1,14,11,5,9,0,0,1,23,1,0,0,0,0,1,0,63,1,1,0,2,0,0,1,2,0,0,0,9,4,3,0,18,34,84,1
2015-04,57,1,0,0,1,0,1,11,0,0,2,1,0,1,0,1,0,25,0,5,32,0,7,1,2,1,0,1,1,19,14,5,9,0,0,1,24,1,0,0,0,0,1,0,73,1,1,0,2,4,3,2,2,0,0,0,13,4,3,0,20,46,124,1
2015-05,57,1,0,0,1,0,1,32,0,0,2,1,0,1,0,1,0,59,0,20,36,0,7,3,4,1,0,1,1,19,35,5,9,0,0,1,25,1,0,0,0,0,1,0,100,1,1,0,2,8,3,2,3,0,0,0,25,4,3,0,23,137,228,1
2015-06,58,1,0,0,1,0,1,37,1,0,4,2,0,1,0,1,0,65,0,24,38,0,7,3,5,1,0,1,1,24,49,5,10,0,0,1,27,1,0,0,0,0,1,0,122,1,1,0,2,9,3,2,3,0,0,0,28,4,9,0,23,154,298,1
2015-07,118,1,0,0,1,0,1,43,2,0,7,2,0,1,0,1,0,67,0,37,39,0,8,18,5,1,0,1,1,25,54,5,10,0,0,1,28,1,0,0,0,0,1,0,144,1,1,0,2,26,3,2,3,0,0,0,33,4,10,0,24,204,363,1
2015-08,165,1,1,1,1,0,1,70,3,0,34,2,0,1,0,1,0,92,0,106,40,0,8,19,5,1,0,1,1,29,72,5,10,0,0,2,28,1,0,0,0,0,1,0,170,1,1,0,2,35,3,2,3,0,0,0,37,5,10,0,24,246,498,1
2015-09,204,1,1,1,1,0,1,128,4,0,39,2,0,1,1,1,0,132,0,274,41,0,8,21,5,1,0,1,1,41,112,8,22,0,0,2,58,1,4,0,0,0,1,1,286,3,1,3,2,95,3,2,3,2,0,0,37,5,10,0,25,308,660,1
2015-10,205,1,1,1,1,0,1,145,4,0,42,2,0,1,1,1,0,138,0,326,41,0,8,23,21,1,0,1,1,56,138,8,22,0,0,2,67,1,4,0,0,1,1,1,339,3,1,6,2,96,3,2,3,2,0,0,38,5,10,0,26,343,769,1
2015-11,205,1,1,1,1,0,1,211,4,0,42,2,0,1,1,1,0,195,0,409,42,0,8,27,31,1,0,1,1,66,191,8,36,0,0,2,67,1,4,0,0,1,1,1,402,3,1,6,2,100,3,2,9,2,0,0,48,5,10,0,29,508,1078,1
2015-12,205,1,1,1,1,0,1,262,4,0,55,2,0,1,1,1,0,236,0,446,42,0,8,32,42,1,0,1,1,73,231,8,39,0,2,2,67,1,4,0,0,1,1,1,438,8,1,7,2,101,3,2,9,2,0,0,50,5,10,0,29,633,1305,1
2016-01,206,1,1,1,1,0,1,298,4,0,58,2,0,1,1,1,0,281,0,570,42,0,8,32,46,1,0,1,1,77,252,9,49,0,4,2,67,1,4,0,0,1,1,1,481,10,1,7,2,110,3,2,9,2,0,0,51,5,10,0,30,758,1471,1
2016-02,206,1,1,1,1,0,1,352,4,0,58,2,0,1,1,1,0,296,0,632,43,0,8,32,50,1,0,1,1,86,316,9,55,0,4,2,67,1,4,0,0,1,1,1,527,11,1,7,2,110,4,2,9,2,2,0,55,5,10,0,30,862,1564,1
2016-03,206,1,1,1,1,0,1,436,5,0,61,2,0,2,1,1,2,327,0,678,43,0,8,33,51,1,0,1,1,95,354,9,59,0,5,2,67,1,4,0,0,1,1,1,570,12,1,8,2,115,4,2,9,2,2,0,63,5,10,0,30,993,1709,1
2016-04,206,1,1,1,1,0,1,490,7,0,64,2,0,3,1,1,4,353,0,750,45,0,8,38,52,1,0,1,1,107,401,9,59,0,5,2,67,29,4,0,0,1,1,1,619,12,1,8,2,120,4,2,10,2,2,0,67,5,11,0,30,1113,1843,1
2016-05,206,2,1,1,1,3,1,545,8,0,67,2,0,3,1,1,4,380,0,774,45,0,8,38,53,1,0,1,1,127,459,9,62,0,5,2,67,29,4,0,0,1,1,1,677,15,1,8,2,122,4,2,10,2,2,0,85,5,12,0,30,1200,2009,1
2016-06,207,2,1,1,1,3,1,597,20,0,69,2,0,3,1,1,4,410,0,798,45,0,8,39,56,1,0,1,1,141,527,12,62,0,5,2,67,29,4,0,0,1,1,1,728,16,1,8,2,123,5,2,10,2,2,0,86,5,13,0,32,1282,2202,1
2016-07,207,2,1,1,1,4,1,660,21,0,71,2,0,4,1,1,7,430,0,915,46,0,8,39,56,1,0,1,1,154,572,12,67,0,8,2,67,31,4,0,0,1,1,1,785,16,1,8,3,128,6,2,10,2,2,0,87,7,14,0,32,1360,2385,1
2016-08,207,2,1,1,1,4,1,719,21,0,72,2,1,8,1,1,8,513,0,953,46,0,8,39,56,1,0,1,1,163,643,13,74,0,9,2,67,31,5,0,0,1,1,1,826,19,1,10,3,140,8,2,10,2,2,0,95,12,17,0,32,1467,2616,1
2016-09,207,2,1,1,1,4,1,778,23,0,72,2,1,11,1,1,10,532,0,1019,46,0,8,39,56,1,0,1,1,171,716,16,75,0,9,2,69,31,5,0,0,2,1,1,889,20,1,10,3,144,10,2,11,2,3,0,96,12,24,0,32,1572,2792,1
2016-10,207,2,1,1,1,4,1,852,23,0,85,2,1,11,1,1,11,556,2,1079,46,0,8,42,58,1,0,1,1,178,795,17,81,0,9,2,71,31,5,0,1,2,1,1,968,23,1,11,3,148,14,2,11,2,3,0,97,16,28,0,32,1701,2971,1
2016-11,207,2,1,1,1,4,1,900,23,0,85,2,1,11,1,1,12,591,2,1108,46,0,8,43,58,1,0,1,1,189,893,18,86,0,10,2,71,31,5,0,1,2,1,1,1012,25,1,11,3,153,27,2,11,2,3,0,122,18,39,0,32,1808,3196,1
2016-12,207,2,1,1,1,4,1,964,23,0,92,2,1,15,1,1,13,657,2,1134,48,1,8,47,61,1,0,1,2,198,944,18,87,0,10,2,72,31,5,0,1,2,1,1,1035,28,1,11,3,154,27,2,14,2,3,0,142,20,53,0,33,1889,3382,1
2017-01,207,2,1,1,1,4,1,1023,23,0,92,2,1,15,5,1,14,721,2,1153,48,1,8,48,61,1,0,1,2,223,1026,19,91,0,10,2,72,31,5,0,1,2,1,1,1126,32,1,12,3,187,27,2,14,2,3,0,156,20,69,0,34,2064,3611,1
2017-02,207,2,1,1,1,4,1,1088,26,1,93,2,1,19,6,1,14,766,2,1159,48,1,8,48,61,1,3,1,2,255,1097,19,125,0,10,2,73,31,5,0,1,2,1,1,1190,36,1,16,4,221,30,2,14,2,3,0,156,20,71,0,34,2187,3929,1
2017-03,218,4,1,1,1,4,1,1163,27,1,100,2,1,22,6,1,14,802,2,1184,48,1,8,48,66,1,4,1,2,279,1233,20,127,0,10,2,75,31,6,0,1,2,2,1,1227,38,1,18,4,235,32,2,14,2,4,0,163,20,84,3,34,2316,4291,1
2017-04,219,4,1,1,1,4,1,1247,29,1,101,2,1,23,6,1,14,884,2,1213,49,1,8,50,70,1,4,1,3,296,1345,21,136,0,10,2,76,31,6,0,1,2,2,1,1308,44,1,19,4,244,32,2,14,2,4,2,168,25,92,3,34,2428,4584,1
2017-05,245,4,1,1,1,5,1,1317,29,1,101,2,1,28,6,1,14,927,2,1230,52,1,8,54,84,1,4,1,3,321,1450,21,136,1,10,2,77,31,6,1,2,3,2,1,1347,46,1,19,4,247,38,2,14,2,4,2,191,25,100,3,34,2531,4977,1
2017-06,253,4,1,1,1,5,1,1376,30,1,101,2,1,32,6,1,14,945,2,1292,52,1,8,54,84,1,4,1,7,331,1506,22,139,1,10,2,88,31,6,1,2,3,2,1,1374,46,1,23,5,282,38,3,14,2,4,2,206,26,100,3,34,2641,5437,1
2017-07,253,4,1,1,1,5,1,1378,30,1,101,2,1,32,6,1,14,945,2,1292,52,1,8,54,84,1,4,1,7,331,1508,22,139,1,10,2,88,31,6,1,2,3,2,1,1374,46,1,23,5,282,38,3,14,2,4,2,206,27,100,3,34,2642,5443,1
longitude,65,20,3,18.5,-61.8,-64,45,133,13.3333,28,4,-88.75,24,-55,25,30,105,-95,-71,105,-72,-84,-80,15.5,10,-61.3333,26,175,26,2,9,20,77,120,-8,34.75,12.8333,138,25,112.5,14.5833,-102,-5,84,5.75,174,8,10,122,20,-8,25,103.8,19.5,15,24,-4,15,8,35,32,-2,-97,30
latitude,33,41,28,-12.5,17.05,-34,40,-27,47.3333,53,50.8333,17.25,-22,-10,43,-3.5,13,60,-30,35,4,10,21.5,49.75,56,15.4167,59,-18,64,46,51,47,20,-5,53,31.5,42.8333,36,57,2.5,35.8333,23,32,28,52.5,-41,10,62,13,52,39.5,46,1.3667,48.6667,46,-29,40,62,47,39,49,54,38,-20
