origin,Freq
Afghanistan,0.876858559
Albania,0.038124285
Algeria,0
Angola,0
Antigua and Barbuda,0
Argentina,0.019062143
Armenia,0
Australia,7.89172703
Austria,0.133434998
Bahrain,0
Barbados,0
Belarus,0.019062143
Belgium,0.171559283
Belize,0
Botswana,0
Brazil,0.324056424
Bulgaria,0.095310713
Burundi,0
Cambodia,0.019062143
Canada,5.489897064
Chile,0
China,3.011818528
Colombia,0.07624857
Costa Rica,0
Cuba,0
Czech Republic,0.133434998
Denmark,0.438429279
Dominica,0
Estonia,0.07624857
Fiji,0
Finland,0.095310713
France,2.535264964
Georgia,0.019062143
Germany,10.75104842
Greece,0.019062143
Hungary,0.07624857
India,0.991231414
Indonesia,0.019062143
Ireland,0
Israel,0
Italy,0.304994281
Japan,0
Latvia,0.019062143
Malaysia,0.019062143
Malta,0.019062143
Mexico,0.019062143
Moldova,0.038124285
Monaco,0
Morocco,0.019062143
Nepal,0
Netherlands,6.462066336
New Zealand,0.343118567
Nigeria,0
Norway,0.228745711
NULL,0
Panama,0
Philippines,0.038124285
Poland,2.439954251
Portugal,0.209683568
Romania,0.019062143
Russia,0.476553565
Serbia,0
Singapore,0
Slovakia,0
Slovenia,0.019062143
South Africa,0.038124285
Spain,1.219977125
Sweden,0.133434998
Switzerland,0.895920701
Thailand,0
Turkey,0.057186428
Ukraine,0.019062143
United Kingdom,14.35379337
United States,39.28707587
Vatican City,0
Venezuela,0
Worldwide,0
Zimbabwe,0
